dataset,num_and_cat,model_score,instance_certainty_clf,lux_conf_ablation,lux_conf_pure,lux_conf_proba,lux_conf_shap
tic-tac-toe,./data/num_and_cat/balanced,0.875,1.0,0.8,0.0,0.0,0.9939024390243902
tic-tac-toe,./data/num_and_cat/balanced,0.875,1.0,1.0,0.0,0.0,0.9971098265895953
vehicle,./data/num_and_cat/balanced,0.7688679245283019,1.0,1.0,0.0,0.0,1.0
vehicle,./data/num_and_cat/balanced,0.7688679245283019,0.6,1.0,0.0,0.0,0.9964912280701753
eucalyptus,./data/num_and_cat/balanced,0.5031055900621118,0.6,0.7837837837837838,0.0,0.0,1.0
eucalyptus,./data/num_and_cat/balanced,0.5031055900621118,0.6,1.0,0.0,0.0,0.9692307692307691
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,1.0,0.0,0.0,1.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,1.0,0.0,0.0,1.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,0.7083333333333334,0.0,0.0,0.7974683544303798
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,0.9,0.0,0.0,0.9732142857142858
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,1.0,0.0,0.0,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,1.0,0.0,0.0,0.9989130434782607
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,1.0,0.0,0.0,1.0
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,1.0,0.0,0.0,0.9990627928772259
kc2,./data/num_and_cat/balanced,0.7938931297709924,1.0,1.0,0.0,0.0,0.9971264367816092
kc2,./data/num_and_cat/balanced,0.7938931297709924,0.8,1.0,0.0,0.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,1.0,0.0,0.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,1.0,0.0,0.0,0.9985029940119761
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,0.9987325728770596
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.8571428571428571,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.9918032786885245,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,1.0,0.0,0.0,0.9985815602836879
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.9915966386554622,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,0.9885057471264368,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.992,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,0.9958762886597938
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,1.0,0.0,0.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.9772727272727273,0.0,0.0,0.9978902953586498
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.9620253164556962,0.0,0.0,0.9976798143851509
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.9913793103448276,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.993288590604027,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,1.0,0.0,0.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,0.8571428571428571,0.0,0.0,0.9946524064171122
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,1.0,0.0,0.0,0.9985443959243085
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.975,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,0.9928571428571429,0.0,0.0,0.9981024667931688
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,0.9876543209876543,0.0,0.0,0.998263888888889
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.9915966386554622,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.9922480620155039,0.0,0.0,0.9986684420772305
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.9917355371900827,0.0,0.0,0.9985029940119761
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,0.991869918699187,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,0.9444444444444444,0.0,0.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.9805825242718447,0.0,0.0,0.9963570127504553
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,0.993103448275862,0.0,0.0,0.9984025559105432
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.9922480620155039,0.0,0.0,0.9959016393442625
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,1.0,0.0,0.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,1.0,0.0,0.0,0.9985029940119761
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,0.9987325728770596
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.8571428571428571,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.9918032786885245,0.0,0.0,1.0
