dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,0.8333333333333334,0.0,0.0,0.4,1.0,1.0,,0.8333333333333334,0.0,0.0,0.4,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0.4,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0.4000000000000001,1.0,1.0,0.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,0.3333333333333333,0.0,0.0,0.0,0.14285714285714285,0.18181818181818182,,0.3333333333333333,0.0,0.0,0.0,0.14285714285714285,0.18181818181818182,0.0,0.3333333333333333,0.0,0.0,0.0,0.14285714285714285,0.18181818181818182,0.0,0.3333333333333333,0.0,0.0,0.0,0.14285714285714285,0.18181818181818182,0.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,0.2,0.0,0.0,0.2,1.0,0.3333333333333333,1.0,0.2,0.0,0.0,0.2,1.0,0.3333333333333333,1.0,0.2,0.0,0.0,0.2,1.0,0.3333333333333333,1.0,0.20000000000000004,0.0,0.0,0.20000000000000004,1.0,0.3333333333333333,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,0.8518518518518519,0.0,0.0,1.0,,,,0.8518518518518519,0.0,0.0,1.0,,,0.0,0.8518518518518519,0.0,0.0,1.0,,,0.0,0.8518518518518519,0.0,0.0,1.0,,,0.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,0.9444444444444444,0.0,0.0,0.9444444444444444,,,,0.9444444444444444,0.0,0.0,0.9444444444444444,,,0.0,0.9444444444444444,0.0,0.0,0.9444444444444444,,,0.0,0.9444444444444444,0.0,0.0,0.9444444444444444,,,0.0
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,0.9487179487179487,0.0,0.0,0.9487179487179487,,,0.9354838709677419,0.9487179487179487,0.0,0.0,0.9487179487179487,,,0.9354838709677419,0.9487179487179487,0.0,0.0,0.9487179487179487,,,0.9354838709677419,0.9487179487179487,0.0,0.0,0.9487179487179487,,,0.9354838709677419
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,0.9487179487179487,0.0,0.0,0.9487179487179487,,,,0.9487179487179487,0.0,0.0,0.9487179487179487,,,0.0,0.9487179487179487,0.0,0.0,0.9487179487179487,,,0.0,0.9487179487179487,0.0,0.0,0.9487179487179487,,,0.0
kc2,./data/num_and_cat/balanced,0.7938931297709924,1.0,0.9230769230769231,0.0,0.0,0.9230769230769231,0.9230769230769231,,0.9230769230769231,0.9230769230769231,0.0,0.0,0.9230769230769231,0.9230769230769231,,0.9230769230769231,0.9230769230769231,0.0,0.0,0.9230769230769231,0.9230769230769231,,0.9230769230769231,0.9230769230769231,0.0,0.0,0.9230769230769231,0.9230769230769231,,0.9230769230769231
kc2,./data/num_and_cat/balanced,0.7938931297709924,0.8,0.7692307692307693,0.0,0.0,0.0,,,0.7692307692307693,0.7692307692307693,0.0,0.0,0.0,,,0.7692307692307693,0.7692307692307693,0.0,0.0,0.0,,,0.7692307692307693,0.7692307692307693,0.0,0.0,0.0,,,0.7692307692307693
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,0.25,0.0,0.0,0.25,0.0,0.25,0.1,0.25,0.0,0.0,0.25,0.0,0.25,0.1,0.25,0.0,0.0,0.25,0.0,0.25,0.1,0.25,0.0,0.0,0.25,0.0,0.25,0.10000000000000002
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,0.625,0.0,0.0,0.625,0.5,0.7142857142857143,0.8,0.625,0.0,0.0,0.625,0.5,0.7142857142857143,0.8,0.625,0.0,0.0,0.625,0.5,0.7142857142857143,0.8,0.625,0.0,0.0,0.625,0.5,0.7142857142857143,0.8000000000000002
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,0.9411764705882353,0.0,0.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,0.9411764705882353,0.0,0.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,0.9411764705882353,0.0,0.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,0.9411764705882353,0.0,0.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.9393939393939394,0.0,0.0,0.96875,0.7948717948717948,0.8888888888888888,,0.9393939393939394,0.0,0.0,0.96875,0.7948717948717948,0.8888888888888888,0.0,0.9393939393939394,0.0,0.0,0.96875,0.7948717948717948,0.8888888888888888,0.0,0.9393939393939394,0.0,0.0,0.96875,0.7948717948717948,0.8888888888888888,0.0
