dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,1.0,0.0,0.0,2.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,3.0,0.0,0.0,0.0,1.0,,,2.0
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,3.0,0.0,0.0,0.0,1.0,,,2.0
kc2,./data/num_and_cat/balanced,0.7938931297709924,1.0,1.0,0.0,0.0,0.0,1.0,5.0,,2.0
kc2,./data/num_and_cat/balanced,0.7938931297709924,0.8,1.0,0.0,0.0,0.0,0.0,,,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,2.0,0.0,0.0,2.0,7.0,1.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,10.0,5.0,0.0,0.0,0.0,6.0,9.0,2.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,5.0,2.0,0.0,0.0,2.0,7.0,4.0,7.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,2.0,5.0,4.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,11.0,5.0,0.0,0.0,4.0,5.0,5.0,23.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,3.0,5.0,3.0,9.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,1.0,0.0,0.0,2.0,5.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,14.0,4.0,0.0,0.0,3.0,6.0,8.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,1.0,0.0,0.0,1.0,5.0,4.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,3.0,0.0,0.0,4.0,4.0,6.0,8.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,4.0,0.0,0.0,4.0,6.0,9.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,2.0,6.0,4.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,6.0,0.0,0.0,4.0,11.0,5.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,15.0,3.0,0.0,0.0,0.0,6.0,7.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,5.0,1.0,0.0,0.0,3.0,4.0,7.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,8.0,1.0,0.0,0.0,0.0,5.0,5.0,14.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,4.0,0.0,0.0,4.0,9.0,8.0,27.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,2.0,6.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,11.0,3.0,0.0,0.0,6.0,8.0,7.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,7.0,1.0,0.0,0.0,3.0,4.0,4.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,1.0,0.0,0.0,1.0,4.0,5.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,10.0,6.0,0.0,0.0,10.0,8.0,9.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,3.0,0.0,0.0,3.0,4.0,9.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,2.0,0.0,0.0,2.0,5.0,3.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,3.0,0.0,0.0,2.0,5.0,8.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,8.0,5.0,0.0,0.0,0.0,7.0,5.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,14.0,6.0,0.0,0.0,3.0,5.0,8.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,4.0,0.0,0.0,3.0,6.0,7.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,10.0,3.0,0.0,0.0,7.0,9.0,6.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,3.0,0.0,0.0,5.0,5.0,8.0,11.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,2.0,0.0,0.0,5.0,4.0,9.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,3.0,0.0,0.0,3.0,5.0,4.0,7.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,8.0,1.0,0.0,0.0,2.0,9.0,3.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,8.0,2.0,0.0,0.0,1.0,13.0,1.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,7.0,1.0,0.0,0.0,1.0,3.0,5.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,0.0,3.0,6.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,1.0,0.0,0.0,1.0,5.0,4.0,13.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,4.0,3.0,0.0,0.0,3.0,5.0,2.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,3.0,2.0,0.0,0.0,3.0,7.0,3.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,4.0,0.0,0.0,4.0,4.0,10.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,3.0,0.0,0.0,4.0,5.0,11.0,8.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,4.0,3.0,0.0,0.0,3.0,4.0,5.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,4.0,3.0,0.0,0.0,2.0,5.0,5.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,14.0,6.0,0.0,0.0,0.0,4.0,8.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,7.0,3.0,0.0,0.0,2.0,2.0,8.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,7.0,2.0,0.0,0.0,2.0,6.0,3.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,8.0,3.0,0.0,0.0,0.0,6.0,5.0,2.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,14.0,4.0,0.0,0.0,5.0,5.0,8.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,11.0,2.0,0.0,0.0,4.0,6.0,6.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,2.0,0.0,0.0,2.0,7.0,1.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,10.0,5.0,0.0,0.0,0.0,6.0,9.0,2.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,5.0,2.0,0.0,0.0,2.0,7.0,4.0,7.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,2.0,5.0,4.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,11.0,5.0,0.0,0.0,4.0,5.0,5.0,23.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,3.0,5.0,3.0,9.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,1.0,0.0,0.0,2.0,5.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,14.0,4.0,0.0,0.0,3.0,6.0,8.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,1.0,0.0,0.0,1.0,5.0,4.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,3.0,0.0,0.0,4.0,4.0,6.0,8.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,4.0,0.0,0.0,4.0,6.0,9.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,2.0,6.0,4.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,6.0,0.0,0.0,4.0,11.0,5.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,15.0,3.0,0.0,0.0,0.0,6.0,7.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,5.0,1.0,0.0,0.0,3.0,4.0,7.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,8.0,1.0,0.0,0.0,0.0,5.0,5.0,14.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,4.0,0.0,0.0,4.0,9.0,8.0,27.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,2.0,6.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,11.0,3.0,0.0,0.0,6.0,8.0,7.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,7.0,1.0,0.0,0.0,3.0,4.0,4.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,1.0,0.0,0.0,1.0,4.0,5.0,36.0
