dataset,num_and_cat,model_score,instance_certainty_clf,dectree_score,ac_score_ablation,ac_score_pure,ac_score_proba,ac_score_shap,ac_score_explan,ac_score_lore,dectree_score_prec,prec_score_ablation,prec_score_pure,prec_score_proba,prec_score_shap,prec_score_explan,prec_score_lore,dectree_score_rec,rec_score_ablation,rec_score_pure,rec_score_proba,rec_score_shap,rec_score_explan,rec_score_lore,dectree_score_f1,f1_score_ablation,f1_score_pure,f1_score_proba,f1_score_shap,f1_score_explan,f1_score_lore
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.999999999804261,1.0,1.0,0,0,1.0,0.6835443037974683,0.7974683544303798,1.0,1.0,0,0,1.0,0.6621621621621622,0.8666666666666667,1.0,1.0,0,0,1.0,1.0,0.7959183673469388,1.0,1.0,0,0,1.0,0.7967479674796748,0.8297872340425533
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9523769326878209,0.9746835443037974,0.9240506329113924,0,0,1.0,0.9367088607594937,0.7974683544303798,0.9636363636363636,0.9607843137254902,0,0,1.0,0.9444444444444444,1.0,1.0,0.9245283018867925,0,0,1.0,0.9622641509433962,0.6981132075471698,0.9814814814814815,0.9423076923076923,0,0,1.0,0.9532710280373832,0.8222222222222222
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9997594451938582,1.0,0.9620253164556962,0,0,0.9873417721518988,0.8481012658227848,0.9746835443037974,1.0,0.9285714285714286,0,0,0.975,0.8,0.9512195121951219,1.0,1.0,0,0,1.0,0.9230769230769231,1.0,1.0,0.962962962962963,0,0,0.9873417721518987,0.8571428571428571,0.975
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999996812152,1.0,0.9620253164556962,0,0,1.0,1.0,0.8987341772151899,1.0,1.0,0,0,1.0,1.0,0.9310344827586207,1.0,0.9482758620689655,0,0,1.0,1.0,0.9310344827586207,1.0,0.9734513274336283,0,0,1.0,1.0,0.9310344827586207
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9994353849967786,1.0,1.0,0,0,0.9746835443037974,0.9493670886075949,0.8354430379746836,1.0,1.0,0,0,0.9615384615384616,0.9259259259259259,0.9111111111111111,1.0,1.0,0,0,1.0,1.0,0.82,1.0,1.0,0,0,0.9803921568627451,0.9615384615384615,0.8631578947368421
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999344065695503,1.0,0.9873417721518988,0,0,0.9873417721518988,0.9113924050632911,1.0,1.0,1.0,0,0,1.0,0.9056603773584906,1.0,1.0,0.98,0,0,0.98,0.96,1.0,1.0,0.98989898989899,0,0,0.98989898989899,0.9320388349514563,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999996729545,1.0,0.9873417721518988,0,0,1.0,0.9493670886075949,0.9873417721518988,1.0,0.9846153846153847,0,0,1.0,0.96875,1.0,1.0,1.0,0,0,1.0,0.96875,0.984375,1.0,0.9922480620155039,0,0,1.0,0.96875,0.9921259842519685
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9993871565204593,1.0,0.9367088607594937,0,0,0.9873417721518988,0.9873417721518988,0.9240506329113924,1.0,0.9387755102040817,0,0,1.0,1.0,0.9375,1.0,0.9583333333333334,0,0,0.9791666666666666,0.9791666666666666,0.9375,1.0,0.9484536082474228,0,0,0.9894736842105264,0.9894736842105264,0.9375
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999999654522,0.9873417721518988,0.9873417721518988,0,0,1.0,0.810126582278481,0.9493670886075949,0.984375,0.984375,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,0.7619047619047619,0.9365079365079365,0.9921259842519685,0.9921259842519685,0,0,1.0,0.8648648648648648,0.9672131147540983
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9768730321685449,1.0,1.0,0,0,0.9873417721518988,0.8607594936708861,0.9873417721518988,1.0,1.0,0,0,0.9777777777777777,0.8,0.9777777777777777,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9887640449438202,0.888888888888889,0.9887640449438202
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999705161957297,1.0,0.9746835443037974,0,0,0.9367088607594937,0.9367088607594937,0.8734177215189873,1.0,1.0,0,0,1.0,1.0,0.96,1.0,0.9642857142857143,0,0,0.9107142857142857,0.9107142857142857,0.8571428571428571,1.0,0.9818181818181818,0,0,0.9532710280373832,0.9532710280373832,0.9056603773584904
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999952975430906,0.9746835443037974,0.9873417721518988,0,0,0.9873417721518988,0.9493670886075949,0.9873417721518988,1.0,1.0,0,0,1.0,0.98,1.0,0.9615384615384616,0.9807692307692307,0,0,0.9807692307692307,0.9423076923076923,0.9807692307692307,0.9803921568627451,0.9902912621359222,0,0,0.9902912621359222,0.9607843137254902,0.9902912621359222
