dataset,num_and_cat,model_score,instance_certainty_clf,cov_ablation,cov_pure,cov_proba,cov_shap,cov_EXPLAN,cov_LORE,cov_anchor
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999645724432,0.27848101265822783,0.0,0.0,0.0759493670886076,0.9240506329113924,0.0759493670886076,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9701687176550575,0.4430379746835443,0.0,0.0,0.4430379746835443,0.43037974683544306,0.10126582278481013,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9997095350887656,0.43037974683544306,0.0,0.0,0.43037974683544306,0.43037974683544306,0.43037974683544306,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999997633506,0.4936708860759494,0.0,0.0,0.4936708860759494,0.34177215189873417,0.4936708860759494,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9989153939563388,0.3924050632911392,0.0,0.0,0.3924050632911392,0.25316455696202533,0.35443037974683544,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999479038406024,0.43037974683544306,0.0,0.0,0.43037974683544306,0.4936708860759494,0.43037974683544306,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999999786016,0.5569620253164557,0.0,0.0,0.5569620253164557,0.11392405063291139,0.5569620253164557,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9995453460980233,0.6075949367088608,0.0,0.0,0.569620253164557,0.5569620253164557,0.6075949367088608,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999999971246,0.5316455696202531,0.0,0.0,0.31645569620253167,0.06329113924050633,0.31645569620253167,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9808045470258815,0.4430379746835443,0.0,0.0,0.4430379746835443,0.3924050632911392,0.4430379746835443,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999874130649893,0.43037974683544306,0.0,0.0,0.43037974683544306,0.4936708860759494,0.379746835443038,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.999996568587834,0.46835443037974683,0.0,0.0,0.46835443037974683,0.10126582278481013,0.46835443037974683,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9698166556055622,0.02531645569620253,0.0,0.0,0.4050632911392405,0.08860759493670886,0.35443037974683544,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9998535498127521,0.5443037974683544,0.0,0.0,0.45569620253164556,0.569620253164557,0.5443037974683544,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.999999938904612,0.22784810126582278,0.0,0.0,0.22784810126582278,0.22784810126582278,0.22784810126582278,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.999889780060763,0.46835443037974683,0.0,0.0,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9804378985579575,0.17721518987341772,0.0,0.0,0.569620253164557,0.13924050632911392,0.26582278481012656,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999998985905595,0.4810126582278481,0.0,0.0,0.4810126582278481,0.4810126582278481,0.4810126582278481,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9997420491047312,0.34177215189873417,0.0,0.0,0.34177215189873417,0.3291139240506329,0.10126582278481013,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9984508495236932,0.46835443037974683,0.0,0.0,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.16455696202531644
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999998969630244,0.4430379746835443,0.0,0.0,0.4430379746835443,0.27848101265822783,0.4430379746835443,0.0759493670886076
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9668005152358762,0.05063291139240506,0.0,0.0,0.1518987341772152,0.0379746835443038,0.1518987341772152,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.999989513855434,0.569620253164557,0.0,0.0,0.379746835443038,0.25316455696202533,0.379746835443038,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999610640593,0.45569620253164556,0.0,0.0,0.45569620253164556,0.45569620253164556,0.45569620253164556,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999976817625071,0.6835443037974683,0.0,0.0,0.31645569620253167,0.21518987341772153,0.8607594936708861,0.22784810126582278
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9896071286600304,0.13924050632911392,0.0,0.0,0.12658227848101267,0.4936708860759494,0.12658227848101267,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999939654766336,0.5569620253164557,0.0,0.0,0.5569620253164557,0.5316455696202531,0.5316455696202531,0.0
