dataset,num_and_cat,model_score,instance_certainty_clf,dectree_score,ac_score_ablation,ac_score_pure,ac_score_proba,ac_score_shap,ac_score_explan,ac_score_lore,dectree_score_prec,prec_score_ablation,prec_score_pure,prec_score_proba,prec_score_shap,prec_score_explan,prec_score_lore,dectree_score_rec,rec_score_ablation,rec_score_pure,rec_score_proba,rec_score_shap,rec_score_explan,rec_score_lore,dectree_score_f1,f1_score_ablation,f1_score_pure,f1_score_proba,f1_score_shap,f1_score_explan,f1_score_lore
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999645724432,1.0,1.0,0,0,1.0,0.620253164556962,0.9240506329113924,1.0,1.0,0,0,1.0,0.620253164556962,1.0,1.0,1.0,0,0,1.0,1.0,0.8775510204081632,1.0,1.0,0,0,1.0,0.765625,0.9347826086956522
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9701687176550575,0.9746835443037974,0.9240506329113924,0,0,0.9873417721518988,0.9367088607594937,0.8227848101265823,0.9636363636363636,0.9607843137254902,0,0,0.9814814814814815,1.0,0.9333333333333333,1.0,0.9245283018867925,0,0,1.0,0.9056603773584906,0.7924528301886793,0.9814814814814815,0.9423076923076923,0,0,0.9906542056074767,0.9504950495049505,0.8571428571428572
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9997095350887656,1.0,0.9620253164556962,0,0,0.9873417721518988,0.7088607594936709,0.9746835443037974,1.0,0.9285714285714286,0,0,0.975,0.6290322580645161,0.9512195121951219,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0.962962962962963,0,0,0.9873417721518987,0.7722772277227723,0.975
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999997633506,1.0,0.9620253164556962,0,0,1.0,0.9493670886075949,0.9873417721518988,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0.9482758620689655,0,0,1.0,0.9310344827586207,0.9827586206896551,1.0,0.9734513274336283,0,0,1.0,0.9642857142857143,0.9913043478260869
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9989153939563388,1.0,1.0,0,0,0.9746835443037974,0.9873417721518988,0.7974683544303798,1.0,1.0,0,0,0.9615384615384616,1.0,0.9047619047619048,1.0,1.0,0,0,1.0,0.98,0.76,1.0,1.0,0,0,0.9803921568627451,0.98989898989899,0.8260869565217391
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999479038406024,1.0,0.9873417721518988,0,0,0.9873417721518988,0.9367088607594937,0.9873417721518988,1.0,1.0,0,0,1.0,0.9090909090909091,1.0,1.0,0.98,0,0,0.98,1.0,0.98,1.0,0.98989898989899,0,0,0.98989898989899,0.9523809523809523,0.98989898989899
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999999786016,1.0,0.9873417721518988,0,0,1.0,0.8227848101265823,0.9746835443037974,1.0,0.9846153846153847,0,0,1.0,0.8205128205128205,0.984375,1.0,1.0,0,0,1.0,1.0,0.984375,1.0,0.9922480620155039,0,0,1.0,0.9014084507042254,0.984375
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9995453460980233,1.0,0.9367088607594937,0,0,1.0,0.9620253164556962,0.9367088607594937,1.0,0.9387755102040817,0,0,1.0,1.0,0.9387755102040817,1.0,0.9583333333333334,0,0,1.0,0.9375,0.9583333333333334,1.0,0.9484536082474228,0,0,1.0,0.967741935483871,0.9484536082474228
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999999971246,0.9873417721518988,0.9873417721518988,0,0,1.0,0.6835443037974683,0.9493670886075949,0.984375,0.984375,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,0.6031746031746031,0.9365079365079365,0.9921259842519685,0.9921259842519685,0,0,1.0,0.7524752475247524,0.9672131147540983
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9808045470258815,1.0,1.0,0,0,0.9746835443037974,0.8607594936708861,1.0,1.0,1.0,0,0,0.9565217391304348,0.8,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9777777777777777,0.888888888888889,1.0
