dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
qsar-biodeg,./data/numerical_only/balanced,0.04454079388966508,0.19272896438997822,0.08921821067821067,0.18691023719275265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05029190758830494,0.19733340511316577,0.09290393978570448,0.20047963107855057,0.055341078440924736,0.1952454447641177,0.22736837923342573,0.16730729127124516,0.0622140951571519,0.1922462867040488,0.20080458032059323,0.16553615982791925,0.056296356062866065,0.1921660791856062,0.10298083694083696,0.19787390850429945
wall-robot-navigation,./data/numerical_only/balanced,0.2150771846993839,0.31261987853083373,0.31470253968253964,0.22403322430263242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2064228569721089,0.3156065777952386,0.28892151290715834,0.17958961760575987,0.20812507161267102,0.31385872051686237,0.3566626924709278,0.14362578181639107,0.20846379650629332,0.3119796675586114,0.2746252151013761,0.1583957046673294,0.21527266448559124,0.3074772563849714,0.2529191555606416,0.20090376714853148
ilpd,./data/numerical_only/balanced,0.08985735722360859,0.23295235779670745,0.06274594907407408,0.1926637518076407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12104410659341797,0.24954475890779582,0.16326368220899468,0.2906574370512623,0.1310455203662657,0.2461193004156781,0.392125496031746,0.2270205838696539,0.17783377898406025,0.23319340622805124,0.43797226355820107,0.21538214276971918,0.14735287757124776,0.24143507099578093,0.209967826829806,0.29041167318634636
banknote-authentication,./data/numerical_only/balanced,0.04682704101361976,0.1485142685834245,0.06452674897119341,0.21768409968188812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17565327666849884,0.23528721206511058,0.4660082304526749,0.3076698655376715,0.14212157882810061,0.21644050618036526,0.5510288065843623,0.279640000776674,0.22874467866839515,0.22712064342264132,0.7573662551440329,0.2309488485753217,0.20176856210532684,0.22790447077541426,0.5416460905349795,0.25716248590772617
blood-transfusion-service-center,./data/numerical_only/balanced,0.19735330928578357,0.265344630357626,0.035807291666666664,0.15544361143424484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306573857087612,0.3206319816611069,0.43505859375,0.3825211573271256,0.2636640844387445,0.3467238244900113,0.5361328125,0.3289453655873501,0.33808172915411616,0.2956674438830514,0.5325520833333333,0.3479438573144839,0.33971952793298754,0.31030412065663027,0.38492838541666663,0.40499158094365406
cylinder-bands,./data/numerical_only/balanced,0.044040486892519354,0.19255523695063817,0.0528,0.18394728713532157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04888113026130082,0.20022895873940977,0.08714666666666666,0.19650646763458507,0.05714163139429565,0.20127573034130158,0.24402002886002888,0.17648645810680405,0.06117202342214288,0.19671685792345808,0.22338721255098826,0.16471956929651282,0.05062879619967531,0.16900654590455857,0.18296190476190474,0.2101930931720487
GesturePhaseSegmentationProcessed,./data/numerical_only/balanced,0.18056408030632692,0.34250004668161144,0.15073850815850814,0.18655201155110185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20985614979708397,0.33058759674267163,0.28316077616142293,0.18548368228733705,0.19755175939699446,0.3316017940083566,0.26522269064269066,0.15031456629294104,0.20377377691974213,0.33363398769293023,0.25416541104578255,0.15683752699850906,0.21705497410554445,0.3338312194885765,0.2070367169170828,0.2167704011718709
texture,./data/numerical_only/balanced,0.3327060456935783,0.35334525330827177,0.1363768054168054,0.20976710711483168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3247330985352174,0.35387237894700474,0.2299699512755632,0.17902667204020423,0.2748382828733856,0.3331095024496816,0.1597354604322406,0.1734568048013608,0.32457233213148945,0.3523971069806607,0.19996277579810895,0.15290819681903056,0.33027693172237316,0.3505115335701905,0.16657819569504748,0.16767430673475775
steel-plates-fault,./data/numerical_only/balanced,0.16967528381920957,0.32166261588276124,0.13148681096681097,0.20242796785220074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18287385560514396,0.3277783800061345,0.21643016324576692,0.19695786092249784,0.1764124388164312,0.3234233664238882,0.24333221211537,0.15460723751546315,0.19001529588957017,0.31809558715324787,0.24346907293944442,0.16102935945414823,0.1869996670001902,0.31584249240499607,0.13473400821400822,0.1921259607527669
climate-model-simulation-crashes,./data/numerical_only/balanced,0.18519610471482112,0.29046662122314415,0.11293333333333333,0.2786105525639687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17664744344489894,0.28765013636813297,0.1975974603174603,0.22205098796750358,0.2030194074852934,0.2989122270484478,0.37536444444444445,0.2323892437362005,0.20093137424196347,0.2859165317810317,0.17499797979797982,0.24916162667493724,0.20943396077985585,0.2957192629619417,0.24436,0.3264944637270967
wilt,./data/numerical_only/balanced,0.30326442653102775,0.3366795958952159,0.42070318394446954,0.40358527084862283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31035755301196755,0.3376640904836239,0.546476535385544,0.35336168115338673,0.3286680834710825,0.30451207945625725,0.7435189376791912,0.21237581430256416,0.3749227680613133,0.3038181707709824,0.7892258940697149,0.25879647259991023,0.35233662131084376,0.29663627327021386,0.465142598460842,0.3703743309811223
car,./data/numerical_only/balanced,0.27386782147691974,0.32410556475453983,0.3268641975308642,0.38465007623314823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3038360224315089,0.29942543389059645,0.37976954732510293,0.3497752389901719,0.27518479174102334,0.3146695572143165,0.3251358024691358,0.3752087878860714,0.3173108564847743,0.294923168344435,0.3703539094650206,0.36824257059372334,0.31895885481638486,0.2911997989716976,0.38538271604938273,0.404108933931382
segment,./data/numerical_only/balanced,0.192269631315814,0.2803673484717712,0.15334126984126983,0.24407803152871155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702327099418701,0.3345009484981651,0.33828898545898545,0.2527354235531854,0.24237982624909243,0.32087315088834567,0.4773265601065601,0.16758430375766356,0.2598846548105021,0.31859525909574293,0.3714074647574647,0.1898809947018572,0.26715888378903707,0.32634352663093275,0.31833341769341766,0.21372779346111848
churn,./data/numerical_only/balanced,0.12617867046383294,0.2571528555788991,0.32674476190476187,0.31201410846059197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12051615572257818,0.2559919865959026,0.3066601045188042,0.22424691471048397,0.12717475332798972,0.25472964846979,0.4228564790764791,0.21137046953412164,0.12422863456540288,0.2542577363394829,0.2646303785103785,0.22643235089641245,0.11474974577627815,0.2471085502995321,0.24189063831593238,0.23127234389001394
