dataset,num_and_cat,instance_certainty_clf,ac_score_ablation_acc,ac_score_pure_acc,ac_score_proba_acc,ac_score_shap_acc,model_score,dectree_score_acc,ac_score_explan_acc,ac_score_lore_acc
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9705882352941176,0.9705882352941176
banknote-authentication,knn-nosuite,1.0,0.9705882352941176,0.0,0.0,1.0,1.0,1.0,0.8529411764705882,0.6764705882352942
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9705882352941176,1.0
banknote-authentication,knn-nosuite,1.0,0.9705882352941176,0.0,0.0,1.0,1.0,0.9705882352941176,0.9705882352941176,0.8529411764705882
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8823529411764706,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8823529411764706,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,0.9705882352941176,0.0,0.0,1.0,1.0,1.0,0.8235294117647058,0.9705882352941176
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9705882352941176
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,0.9705882352941176,0.8529411764705882,0.9705882352941176
banknote-authentication,knn-nosuite,1.0,0.9705882352941176,0.0,0.0,1.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,0.9117647058823529,0.9117647058823529,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9705882352941176
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,0.9705882352941176,0.0,0.0,1.0,1.0,0.8235294117647058,0.9411764705882353,0.9705882352941176
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7647058823529411
yeast,knn-nosuite,0.8,0.5405405405405406,0.0,0.0,0.5675675675675675,0.5929919137466307,0.5405405405405406,,0.6216216216216216
yeast,knn-nosuite,1.0,0.6756756756756757,0.0,0.0,0.5675675675675675,0.5929919137466307,0.5945945945945946,,0.4864864864864865
yeast,knn-nosuite,0.6,0.5945945945945946,0.0,0.0,0.5675675675675675,0.5929919137466307,0.7027027027027027,,0.4594594594594595
yeast,knn-nosuite,0.6,0.5405405405405406,0.0,0.0,0.6486486486486487,0.5929919137466307,0.7027027027027027,,0.6756756756756757
yeast,knn-nosuite,0.6,0.6486486486486487,0.0,0.0,0.5945945945945946,0.5929919137466307,0.7027027027027027,,0.43243243243243246
yeast,knn-nosuite,0.4,0.3783783783783784,0.0,0.0,0.35135135135135137,0.5929919137466307,0.43243243243243246,,0.4594594594594595
yeast,knn-nosuite,0.6,0.7567567567567568,0.0,0.0,0.5405405405405406,0.5929919137466307,0.7297297297297297,,0.6756756756756757
yeast,knn-nosuite,0.4,0.4864864864864865,0.0,0.0,0.0,0.5929919137466307,0.6216216216216216,,0.40540540540540543
yeast,knn-nosuite,0.4,0.4864864864864865,0.0,0.0,0.3783783783783784,0.5929919137466307,0.5135135135135135,,0.43243243243243246
yeast,knn-nosuite,0.8,0.8648648648648649,0.0,0.0,0.7567567567567568,0.5929919137466307,0.8648648648648649,,0.8108108108108109
