dimensionality,min_cov_lore,min_cov_explan,min_cov_lux,phantom_no_lore,phantom_no_explan,phantom_no_lux,phantom_ratio_lore,phantom_ratio_explan,phantom_ratio_lux,rules_lore,rules_explan,rules_lux
4,0.0,0.0,0.0,1,13,1,0.06666666666666667,0.37142857142857144,0.06666666666666667,15,35,15
4,0.32509505703422054,0.3611859838274933,0.0,0,0,1,0.0,0.0,0.1,6,6,10
4,0.0,0.0,1.8837209302325582,3,2,0,0.42857142857142855,0.2857142857142857,0.0,7,7,2
4,0.3868312757201646,0.07142857142857142,0.0,0,0,1,0.0,0.0,0.0625,5,11,16
4,0.43636363636363634,0.49299719887955185,0.0,0,0,2,0.0,0.0,0.14285714285714285,4,3,14
4,0.0,0.5706214689265536,0.6666666666666666,3,0,0,0.2727272727272727,0.0,0.0,11,3,6
4,0.0,0.0,0.5,1,6,0,0.1,0.35294117647058826,0.0,10,17,10
4,0.0,0.0,0.07407407407407407,1,4,0,0.07692307692307693,0.19047619047619047,0.0,13,21,15
4,0.4375,0.0,0.25,0,3,0,0.0,0.1875,0.0,5,16,6
5,0.08695652173913043,0.0,0.6,0,4,0,0.0,0.14814814814814814,0.0,11,27,11
5,0.0,0.0,0.4,2,4,0,0.18181818181818182,0.16666666666666666,0.0,11,24,10
5,0.10144927536231885,0.0,0.0,0,1,1,0.0,0.09090909090909091,0.07692307692307693,4,11,13
5,0.37057728119180633,0.0,1.3333333333333333,0,6,0,0.0,0.2857142857142857,0.0,4,21,6
5,0.10869565217391304,0.0,3.888888888888889,0,10,0,0.0,0.38461538461538464,0.0,7,26,3
5,0.32771535580524347,0.1111111111111111,0.375,0,0,0,0.0,0.0,0.0,5,15,11
5,0.0,0.0,0.5,5,1,0,0.4166666666666667,0.045454545454545456,0.0,12,22,9
5,0.27340823970037453,0.0,0.4166666666666667,0,6,0,0.0,0.2222222222222222,0.0,4,27,12
5,0.41187384044526903,0.0,0.46153846153846156,0,2,0,0.0,0.1111111111111111,0.0,5,18,13
6,0.0,0.0,0.6923076923076923,2,8,0,0.11764705882352941,0.18604651162790697,0.0,17,43,20
6,0.0,0.0,0.3333333333333333,2,7,0,0.13333333333333333,0.20588235294117646,0.0,15,34,13
6,0.25,0.0,0.75,0,13,0,0.0,0.34210526315789475,0.0,12,38,7
6,0.0,0.0,0.75,4,7,0,0.23529411764705882,0.18421052631578946,0.0,17,38,16
6,0.125,0.0,0.15625,0,16,0,0.0,0.21052631578947367,0.0,23,76,22
6,0.25,0.0,1.1914893617021276,0,4,0,0.0,0.16,0.0,16,25,8
6,0.2198443579766537,0.0,1.175,0,12,0,0.0,0.19672131147540983,0.0,12,61,12
6,0.0,0.0,0.5,2,5,0,0.07407407407407407,0.125,0.0,27,40,18
6,0.0,0.0,0.8571428571428571,2,12,0,0.1,0.23529411764705882,0.0,20,51,17
7,0.08167330677290836,0.0,0.3333333333333333,0,4,0,0.0,0.10810810810810811,0.0,11,37,21
7,0.0,0.0,0.6666666666666666,5,11,0,0.19230769230769232,0.2037037037037037,0.0,26,54,13
7,0.0,0.0,0.2857142857142857,3,3,0,0.17647058823529413,0.10344827586206896,0.0,17,29,15
7,0.0,0.0,0.4444444444444444,1,8,0,0.08333333333333333,0.21621621621621623,0.0,12,37,16
7,0.13934426229508196,0.0,1.8571428571428572,0,10,0,0.0,0.1694915254237288,0.0,18,59,13
7,0.0,0.0,1.0,4,10,0,0.25,0.19607843137254902,0.0,16,51,14
7,0.0,0.0,0.42857142857142855,2,15,0,0.06896551724137931,0.19736842105263158,0.0,29,76,24
7,0.0,0.0,0.3333333333333333,1,6,0,0.058823529411764705,0.14634146341463414,0.0,17,41,15
7,0.0,0.0,0.3333333333333333,2,1,0,0.16666666666666666,0.03125,0.0,12,32,11
8,0.3619402985074627,0.0,0.5,0,8,0,0.0,0.16,0.0,18,50,16
8,0.0,0.0,0.38571428571428573,6,10,0,0.2857142857142857,0.18867924528301888,0.0,21,53,18
8,0.0,0.0,0.5,4,16,0,0.13793103448275862,0.2318840579710145,0.0,29,69,21
8,0.0,0.0,0.6578947368421053,3,8,0,0.13043478260869565,0.1702127659574468,0.0,23,47,13
8,0.0,0.0,1.2,2,19,0,0.09523809523809523,0.3333333333333333,0.0,21,57,11
8,0.0,0.0,1.9285714285714286,4,7,0,0.11428571428571428,0.14,0.0,35,50,20
8,0.0,0.0,0.45588235294117646,5,5,0,0.20833333333333334,0.14285714285714285,0.0,24,35,13
8,0.09867172675521822,0.0,0.3333333333333333,0,10,0,0.0,0.15151515151515152,0.0,14,66,19
8,0.0,0.0,0.2727272727272727,3,3,0,0.13043478260869565,0.13636363636363635,0.0,23,22,12
9,0.12352941176470589,0.0,0.43902439024390244,0,17,0,0.0,0.2328767123287671,0.0,19,73,27
9,0.0,0.0,1.0,7,24,0,0.22580645161290322,0.2891566265060241,0.0,31,83,16
9,0.08333333333333333,0.0,0.4090909090909091,0,10,0,0.0,0.16129032258064516,0.0,12,62,14
9,0.0,0.0,0.16666666666666666,7,3,0,0.21212121212121213,0.041666666666666664,0.0,33,72,28
9,0.0,0.0,0.5714285714285714,9,18,0,0.3333333333333333,0.25,0.0,27,72,24
9,0.0,0.0,1.0,1,15,0,0.043478260869565216,0.28846153846153844,0.0,23,52,10
9,0.0,0.0,0.0,2,10,2,0.05555555555555555,0.14492753623188406,0.09523809523809523,36,69,21
9,0.19444444444444445,0.0,0.0,0,13,1,0.0,0.22413793103448276,0.047619047619047616,15,58,21
9,0.0,0.0,0.0,1,15,1,0.043478260869565216,0.22058823529411764,0.05,23,68,20
10,0.0,0.0,0.5384615384615384,6,10,0,0.16666666666666666,0.23255813953488372,0.0,36,43,17
10,0.0,0.0,0.3333333333333333,4,5,0,0.16666666666666666,0.1111111111111111,0.0,24,45,20
10,0.0,0.0,0.6666666666666666,20,14,0,0.4444444444444444,0.22950819672131148,0.0,45,61,13
10,0.0,0.0,0.7777777777777778,6,7,0,0.20689655172413793,0.13725490196078433,0.0,29,51,19
10,0.0,0.0,1.0,21,11,0,0.5,0.13414634146341464,0.0,42,82,24
10,0.0,0.0,2.5,5,15,0,0.15625,0.1875,0.0,32,80,17
10,0.0,0.0,0.0,18,19,1,0.3673469387755102,0.2261904761904762,0.038461538461538464,49,84,26
10,0.0,0.0,0.0,9,7,1,0.21951219512195122,0.1320754716981132,0.058823529411764705,41,53,17
10,0.0,0.0,1.1111111111111112,2,9,0,0.13333333333333333,0.15789473684210525,0.0,15,57,20
11,0.0,0.0,0.5714285714285714,2,20,0,0.06666666666666667,0.28169014084507044,0.0,30,71,16
11,0.0,0.0,1.8928571428571428,4,6,0,0.13333333333333333,0.10526315789473684,0.0,30,57,13
11,0.0,0.0,0.75,7,25,0,0.21212121212121213,0.2808988764044944,0.0,33,89,16
11,0.0,0.0,0.2,6,19,0,0.16216216216216217,0.19387755102040816,0.0,37,98,20
11,0.0,0.0,0.6,8,7,0,0.22857142857142856,0.11290322580645161,0.0,35,62,27
11,0.0,0.0,0.2,8,4,0,0.3333333333333333,0.09302325581395349,0.0,24,43,18
11,0.0,0.0,0.0,1,26,2,0.043478260869565216,0.24761904761904763,0.06666666666666667,23,105,30
11,0.0,0.0,0.5,6,29,0,0.17142857142857143,0.29591836734693877,0.0,35,98,26
11,0.15384615384615385,0.0,0.9166666666666666,0,9,0,0.0,0.1267605633802817,0.0,18,71,18
12,0.0,0.0,0.2857142857142857,6,10,0,0.23076923076923078,0.16666666666666666,0.0,26,60,24
12,0.0,0.0,0.16666666666666666,11,26,0,0.2682926829268293,0.2222222222222222,0.0,41,117,30
12,0.0,0.0,1.3333333333333333,7,16,0,0.15555555555555556,0.1568627450980392,0.0,45,102,14
12,0.0,0.0,0.4666666666666667,7,10,0,0.15555555555555556,0.14925373134328357,0.0,45,67,20
12,0.0,0.0,0.5,2,12,0,0.05555555555555555,0.1518987341772152,0.0,36,79,34
12,0.0,0.0,0.5,3,18,0,0.0625,0.21951219512195122,0.0,48,82,28
12,0.0,0.0,0.7777777777777778,11,19,0,0.34375,0.18095238095238095,0.0,32,105,18
12,0.0,0.0,1.0,1,7,0,0.0625,0.16279069767441862,0.0,16,43,11
12,0.0,0.0,0.5,11,9,0,0.28205128205128205,0.15517241379310345,0.0,39,58,20
13,0.0,0.0,1.6136363636363635,6,18,0,0.17142857142857143,0.21951219512195122,0.0,35,82,18
13,0.0,0.0,0.75,3,8,0,0.08571428571428572,0.13793103448275862,0.0,35,58,19
13,0.0,0.0,1.3,2,26,0,0.05714285714285714,0.22807017543859648,0.0,35,114,24
13,0.0,0.0,0.43902439024390244,6,8,0,0.14634146341463414,0.11940298507462686,0.0,41,67,22
13,0.0,0.0,0.83,1,6,0,0.04,0.11320754716981132,0.0,25,53,19
13,0.0,0.0,1.0,3,21,0,0.12,0.22580645161290322,0.0,25,93,25
13,0.0,0.0,1.0,6,13,0,0.16216216216216217,0.2,0.0,37,65,22
13,0.0,0.0,0.5,4,19,0,0.12903225806451613,0.2235294117647059,0.0,31,85,24
13,0.0,0.0,1.0,15,12,0,0.3488372093023256,0.16666666666666666,0.0,43,72,25
14,0.0,0.0,0.4,3,9,0,0.08571428571428572,0.15254237288135594,0.0,35,59,35
