dataset,num_and_cat,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_ANCHOR,instance_std_rule_ANCHOR,feature_mean_rule_ANCHOR,feature_std_rule_ANCHOR,instance_mean_rule_LUX,instance_std_rule_LUX,feature_mean_rule_LUX,feature_std_rule_LUX
tmp,4,0.6521553160745216,0.3197422405548977,0.76,0.24979991993593592,0.8127906970065658,0.22521238547671912,0.84,0.233238075793812,1.0,0.0,1.0,0.0,0.6839616250226923,0.3615386269530573,0.79,0.24677925358506136
tmp,5,0.8833391741541604,0.10373376103510427,1.0,0.0,0.7628281234510239,0.23926111080462334,0.79,0.24677925358506136,0.5273732729594572,0.24078443080810535,0.6533333333333333,0.29124254878403705,0.6040154738878142,0.3929324101444094,0.75,0.25
tmp,6,0.7590763082950499,0.3100863083723165,0.7866666666666666,0.310984101058416,0.8783365363060434,0.11871557640310626,0.912,0.12432216214336043,0.74886672234098,0.2776242686452645,0.7533333333333334,0.27535835237417844,0.9948589618675042,0.008033290442165043,1.0,0.0
tmp,7,0.6775941785707618,0.30299893816109447,0.7116666666666666,0.30786450843764945,0.6912253875818515,0.24273957525123277,0.7633333333333333,0.2583924663504466,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
tmp,8,0.39448385155006216,0.2562019239927175,0.48666666666666664,0.2589294198125127,0.8111967210833728,0.15654970256052195,0.94,0.128062484748657,1.0,0.0,1.0,0.0,0.8672839573635955,0.12108314850638743,1.0,0.0
tmp,9,0.4570378786487256,0.27765648258460424,0.524,0.29078743668414103,0.5310366630892227,0.2609067590829756,0.63,0.26570660511172844,0.7653333333333333,0.18354048902384215,0.7653333333333333,0.18354048902384215,0.9518698855746193,0.09671283750391631,0.955,0.09604686356149274
tmp,10,0.35037447108537506,0.2567757462172833,0.48228571428571426,0.26458762677967,0.6600115238033308,0.21303726555181426,0.7583333333333333,0.18047006523089765,1.0,0.0,1.0,0.0,0.5655044798621917,0.2417520644998148,0.616,0.23454352829840916
tmp,11,0.3056773118511934,0.26895296515574774,0.5186190476190476,0.2650904479196323,0.5386027210369817,0.17172970606186633,0.7857272727272726,0.12042778899408509,0.5666160581191071,0.48647360804657386,0.58,0.49355850717012273,0.7603122135991233,0.13636094464055304,0.8372222222222224,0.11079956322060366
tmp,12,0.40258307261873716,0.27674748716291414,0.5400873015873016,0.2747604890475481,0.7811532084274776,0.18906360766030234,0.8833333333333333,0.1641476300299351,0.4448870686302823,0.3182635461665293,0.4763809523809524,0.3235047900825414,0.7704357768879495,0.18378041583655566,0.8933333333333333,0.15549205052920803
tmp,13,0.377619662183299,0.2724717946240741,0.4623333333333333,0.26937809034061316,0.825180516041811,0.1308300860091281,0.871,0.1385965367532681,0.94,0.128062484748657,0.94,0.128062484748657,0.6974867322025164,0.24188899200053002,0.8,0.22360679774997896
tmp,14,0.33103224183580693,0.24414176727361311,0.44123809523809526,0.2545186600218533,0.5300151203927398,0.20826810590763842,0.6713333333333334,0.2281578401019785,0.5004281556090602,0.27135624173725836,0.5029914529914531,0.2721667213880758,0.8106665819486083,0.2910852984596848,0.8106666666666666,0.2910853254059138
tmp,15,0.24910616813717826,0.2951319621772883,0.3061904761904762,0.30109061020821554,0.5337223143824251,0.2033037729331176,0.6236666666666667,0.1872042853260695,0.7616666272282623,0.18409689152079736,0.7616666666666667,0.18409689477736083,0.9039112334607617,0.2030341394566765,0.91,0.19209372712298545
tmp,16,0.3300130500801683,0.2511686147536081,0.39496031746031757,0.25261445036185093,0.5250070621269751,0.2032963946637058,0.6277142857142857,0.21022165173250557,0.6666666666666665,0.3333333333333333,0.6666666666666665,0.3333333333333333,0.7505731747793573,0.18808793648543287,0.834,0.1512158133999954
tmp,17,0.3668110469628978,0.2645696601197253,0.5243333333333333,0.2573844940507834,0.5692012970303065,0.20953726867717265,0.6579999999999999,0.1989204195987263,0.94,0.128062484748657,0.94,0.128062484748657,0.7882431424120985,0.1965443586464179,0.802,0.19898743678936115
tmp,18,0.37233429672575646,0.2408930324804568,0.4549365079365079,0.2413442627493049,0.6018742827702218,0.17625434009615829,0.6862380952380953,0.16868105125399888,0.91,0.19209372712298545,0.91,0.19209372712298545,0.7521586799962314,0.12614340477683286,0.8571428571428571,0.10367400503370114
tmp,19,0.38967354457059933,0.23949506188580544,0.5411904761904761,0.23032720981848073,0.5604285634287262,0.23164223453046914,0.69,0.22978250586152119,0.7449416409200137,0.18834233834955166,0.8016666666666665,0.17708284313657646,0.8345471165642706,0.12454948456701771,0.955,0.09604686356149275
