dataset,num_and_cat,time_lux_ablation,time_lux_pure,time_lux_proba,time_lux_shap,time_explan,time_lore,time_anchor
yeast,rfc-nosuite,0.41072630882263184,0.0,0.0,30.64675283432007,,44.70875072479248,0.46878743171691895
yeast,rfc-nosuite,0.21744203567504883,0.0,0.0,37.597166538238525,,43.9195773601532,0.30489206314086914
yeast,rfc-nosuite,0.21446895599365234,0.0,0.0,36.07726860046387,,43.032959938049316,0.2864418029785156
yeast,rfc-nosuite,0.24352359771728516,0.0,0.0,24.954187154769897,,45.10434436798096,0.9484691619873047
yeast,rfc-nosuite,0.22452306747436523,0.0,0.0,28.11984372138977,,43.90586519241333,0.5537958145141602
yeast,rfc-nosuite,0.27938294410705566,0.0,0.0,44.10251808166504,,44.32081937789917,1.219998836517334
yeast,rfc-nosuite,0.2736644744873047,0.0,0.0,26.808202028274536,,42.91944432258606,0.4823315143585205
yeast,rfc-nosuite,0.19715285301208496,0.0,0.0,37.37122178077698,,43.111183643341064,0.5103461742401123
yeast,rfc-nosuite,0.2758915424346924,0.0,0.0,39.48088598251343,,43.28585910797119,1.076491355895996
yeast,rfc-nosuite,0.27028799057006836,0.0,0.0,36.80012011528015,,43.44348454475403,0.7667310237884521
yeast,rfc-nosuite,0.20776605606079102,0.0,0.0,25.66528868675232,,43.1604266166687,1.1521306037902832
yeast,rfc-nosuite,0.22899842262268066,0.0,0.0,28.563612699508667,,42.77744245529175,0.7223284244537354
yeast,rfc-nosuite,0.23386168479919434,0.0,0.0,37.894102573394775,,43.045581340789795,0.3240346908569336
yeast,rfc-nosuite,0.28174543380737305,0.0,0.0,42.25561881065369,,43.19314122200012,0.8359782695770264
yeast,rfc-nosuite,0.24987077713012695,0.0,0.0,25.068410873413086,,42.87779521942139,0.9734172821044922
yeast,rfc-nosuite,0.24964284896850586,0.0,0.0,39.232460021972656,,43.390313148498535,0.2809162139892578
yeast,rfc-nosuite,0.20748543739318848,0.0,0.0,29.167190313339233,,43.05685043334961,0.4565904140472412
yeast,rfc-nosuite,0.2587409019470215,0.0,0.0,18.623488426208496,,42.77123284339905,1.1774067878723145
yeast,rfc-nosuite,0.2792227268218994,0.0,0.0,18.781185626983643,,43.0806360244751,1.6654384136199951
