dataset,num_and_cat,instance_certainty_clf,ac_score_ablation_acc,ac_score_pure_acc,ac_score_proba_acc,ac_score_shap_acc,model_score,dectree_score_acc,ac_score_explan_acc,ac_score_lore_acc
yeast,rfc-nosuite,0.44,0.5405405405405406,0.0,0.0,0.5405405405405406,0.6091644204851752,0.5405405405405406,,0.5945945945945946
yeast,rfc-nosuite,0.8,0.43243243243243246,0.0,0.0,0.5945945945945946,0.6091644204851752,0.5405405405405406,,0.5405405405405406
yeast,rfc-nosuite,0.69,0.4864864864864865,0.0,0.0,0.7027027027027027,0.6091644204851752,0.5945945945945946,,0.5675675675675675
yeast,rfc-nosuite,0.76,0.6756756756756757,0.0,0.0,0.4864864864864865,0.6091644204851752,0.5405405405405406,,0.5945945945945946
yeast,rfc-nosuite,0.83,0.5405405405405406,0.0,0.0,0.6216216216216216,0.6091644204851752,0.5945945945945946,,0.5675675675675675
yeast,rfc-nosuite,0.4,0.4594594594594595,0.0,0.0,0.2972972972972973,0.6091644204851752,0.40540540540540543,,0.4864864864864865
yeast,rfc-nosuite,0.7,0.5405405405405406,0.0,0.0,0.5675675675675675,0.6091644204851752,0.5945945945945946,,0.7297297297297297
yeast,rfc-nosuite,0.52,0.4864864864864865,0.0,0.0,0.5675675675675675,0.6091644204851752,0.7027027027027027,,0.6216216216216216
yeast,rfc-nosuite,0.53,0.4864864864864865,0.0,0.0,0.32432432432432434,0.6091644204851752,0.4594594594594595,,0.43243243243243246
yeast,rfc-nosuite,0.76,0.5135135135135135,0.0,0.0,0.8108108108108109,0.6091644204851752,0.7837837837837838,,0.8108108108108109
yeast,rfc-nosuite,0.79,0.7567567567567568,0.0,0.0,0.7837837837837838,0.6091644204851752,0.7837837837837838,,0.7837837837837838
yeast,rfc-nosuite,0.84,0.6486486486486487,0.0,0.0,0.6756756756756757,0.6091644204851752,0.5405405405405406,,0.7567567567567568
yeast,rfc-nosuite,0.7,0.6486486486486487,0.0,0.0,0.4594594594594595,0.6091644204851752,0.7027027027027027,,0.6486486486486487
yeast,rfc-nosuite,0.47,0.6216216216216216,0.0,0.0,0.6216216216216216,0.6091644204851752,0.5945945945945946,,0.4864864864864865
yeast,rfc-nosuite,0.81,0.43243243243243246,0.0,0.0,0.5945945945945946,0.6091644204851752,0.6486486486486487,,0.6756756756756757
yeast,rfc-nosuite,0.51,0.5675675675675675,0.0,0.0,0.5405405405405406,0.6091644204851752,0.5135135135135135,,0.6486486486486487
yeast,rfc-nosuite,0.48,0.5405405405405406,0.0,0.0,0.5135135135135135,0.6091644204851752,0.5135135135135135,,0.5135135135135135
yeast,rfc-nosuite,0.73,0.5405405405405406,0.0,0.0,0.32432432432432434,0.6091644204851752,0.5135135135135135,,0.43243243243243246
yeast,rfc-nosuite,0.59,0.5405405405405406,0.0,0.0,0.4864864864864865,0.6091644204851752,0.5405405405405406,,0.43243243243243246
yeast,rfc-nosuite,0.64,0.32432432432432434,0.0,0.0,0.7567567567567568,0.6091644204851752,0.7027027027027027,,0.6756756756756757
yeast,rfc-nosuite,0.78,0.6216216216216216,0.0,0.0,0.6486486486486487,0.6091644204851752,0.6216216216216216,,0.7297297297297297
yeast,rfc-nosuite,0.77,0.3783783783783784,0.0,0.0,0.32432432432432434,0.6091644204851752,0.43243243243243246,,0.43243243243243246
yeast,rfc-nosuite,0.73,0.6486486486486487,0.0,0.0,0.6756756756756757,0.6091644204851752,0.5675675675675675,,0.6216216216216216
yeast,rfc-nosuite,0.42,0.35135135135135137,0.0,0.0,0.4864864864864865,0.6091644204851752,0.5405405405405406,,0.5945945945945946
yeast,rfc-nosuite,0.52,0.43243243243243246,0.0,0.0,0.5135135135135135,0.6091644204851752,0.5945945945945946,,0.5405405405405406
yeast,rfc-nosuite,0.49,0.2972972972972973,0.0,0.0,0.3783783783783784,0.6091644204851752,0.5945945945945946,,0.43243243243243246
yeast,rfc-nosuite,0.5,0.4594594594594595,0.0,0.0,0.6486486486486487,0.6091644204851752,0.5405405405405406,,0.5135135135135135
yeast,rfc-nosuite,0.66,0.4864864864864865,0.0,0.0,0.4594594594594595,0.6091644204851752,0.7027027027027027,,0.7297297297297297
yeast,rfc-nosuite,0.89,0.4864864864864865,0.0,0.0,0.7297297297297297,0.6091644204851752,0.7297297297297297,,0.8108108108108109
yeast,rfc-nosuite,0.64,0.5945945945945946,0.0,0.0,0.4594594594594595,0.6091644204851752,0.4864864864864865,,0.5135135135135135
yeast,rfc-nosuite,0.44,0.2972972972972973,0.0,0.0,0.3783783783783784,0.6091644204851752,0.4864864864864865,,0.40540540540540543
yeast,rfc-nosuite,0.76,0.5405405405405406,0.0,0.0,0.2702702702702703,0.6091644204851752,0.7567567567567568,,0.7027027027027027
yeast,rfc-nosuite,0.32,0.5405405405405406,0.0,0.0,0.5675675675675675,0.6091644204851752,0.7297297297297297,,0.7027027027027027
yeast,rfc-nosuite,0.4,0.5405405405405406,0.0,0.0,0.3783783783783784,0.6091644204851752,0.4864864864864865,,0.4864864864864865
yeast,rfc-nosuite,0.6,0.43243243243243246,0.0,0.0,0.4864864864864865,0.6091644204851752,0.40540540540540543,,0.5135135135135135
yeast,rfc-nosuite,0.48,0.40540540540540543,0.0,0.0,0.40540540540540543,0.6091644204851752,0.4864864864864865,,0.4594594594594595
yeast,rfc-nosuite,0.53,0.5135135135135135,0.0,0.0,0.3783783783783784,0.6091644204851752,0.5135135135135135,,0.4864864864864865
yeast,rfc-nosuite,0.94,0.6756756756756757,0.0,0.0,0.5945945945945946,0.6091644204851752,0.7297297297297297,,0.6756756756756757
yeast,rfc-nosuite,0.8,0.5675675675675675,0.0,0.0,0.40540540540540543,0.6091644204851752,0.5405405405405406,,0.5405405405405406
yeast,rfc-nosuite,0.34,0.4594594594594595,0.0,0.0,0.7567567567567568,0.6091644204851752,0.5945945945945946,,0.6216216216216216
yeast,rfc-nosuite,0.61,0.4864864864864865,0.0,0.0,0.5135135135135135,0.6091644204851752,0.6216216216216216,,0.6486486486486487
yeast,rfc-nosuite,0.52,0.4594594594594595,0.0,0.0,0.4594594594594595,0.6091644204851752,0.5405405405405406,,0.43243243243243246
yeast,rfc-nosuite,0.45,0.43243243243243246,0.0,0.0,0.3783783783783784,0.6091644204851752,0.4594594594594595,,0.3783783783783784
yeast,rfc-nosuite,0.51,0.5135135135135135,0.0,0.0,0.5405405405405406,0.6091644204851752,0.6216216216216216,,0.6486486486486487
