dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,1.0,0.0,0.0,1.0,0.9523809523809523,0.9666666666666667,,1.0,0.0,0.0,1.0,0.9523809523809523,0.9666666666666667,0.0,1.0,0.0,0.0,1.0,0.9523809523809523,0.9666666666666667,0.0,1.0,0.0,0.0,1.0,0.9523809523809523,0.9666666666666667,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.69,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.98,1.0,0.0,0.0,1.0,0.7489539748953975,1.0,,1.0,0.0,0.0,1.0,0.7489539748953975,1.0,0.0,1.0,0.0,0.0,1.0,0.7489539748953975,1.0,0.0,1.0,0.0,0.0,1.0,0.7489539748953975,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,1.0,0.0,0.0,0.9159663865546218,0.8076923076923077,1.0,,1.0,0.0,0.0,0.9159663865546218,0.8076923076923077,1.0,0.0,1.0,0.0,0.0,0.9159663865546218,0.8076923076923077,1.0,0.0,1.0,0.0,0.0,0.9159663865546218,0.8076923076923077,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.97,0.9931506849315068,0.0,0.0,0.9931506849315068,1.0,1.0,,0.9931506849315068,0.0,0.0,0.9931506849315068,1.0,1.0,0.0,0.9931506849315068,0.0,0.0,0.9931506849315068,1.0,1.0,0.0,0.9931506849315068,0.0,0.0,0.9931506849315068,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.99,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,0.7489539748953975,0.0,0.0,1.0,1.0,0.9159663865546218,,0.7489539748953975,0.0,0.0,1.0,1.0,0.9159663865546218,0.0,0.7489539748953975,0.0,0.0,1.0,1.0,0.9159663865546218,0.0,0.7489539748953975,0.0,0.0,1.0,1.0,0.9159663865546218,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.98,0.944,0.0,0.0,0.944,0.944,0.944,,0.944,0.0,0.0,0.944,0.944,0.944,0.0,0.944,0.0,0.0,0.944,0.944,0.944,0.0,0.944,0.0,0.0,0.944,0.944,0.944,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,0.8148148148148148,0.0,0.0,1.0,1.0,1.0,,0.8148148148148148,0.0,0.0,1.0,1.0,1.0,0.0,0.8148148148148148,0.0,0.0,1.0,1.0,1.0,0.0,0.8148148148148148,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.95,0.9931506849315068,0.0,0.0,0.9931506849315068,0.9931506849315068,1.0,,0.9931506849315068,0.0,0.0,0.9931506849315068,0.9931506849315068,1.0,0.0,0.9931506849315068,0.0,0.0,0.9931506849315068,0.9931506849315068,1.0,0.0,0.9931506849315068,0.0,0.0,0.9931506849315068,0.9931506849315068,1.0,0.0
