dataset,num_and_cat,importance_gain_dtree,importance_gain_ablation,importance_gain_noproba,importance_gain_with_proba,importance_gain_shap,importance_gain_explan,importance_gain_lore,importance_gain_anchor
yeast,./data/numerical_only/balanced,0.1921744975994822,0.23735520083353165,0,0,0.2083053221842856,,0.18252439724804326,0.0
yeast,./data/numerical_only/balanced,0.1666666666666667,0.13386575899017852,0,0,0.17240102776837396,,0.1934513594602224,0.0
yeast,./data/numerical_only/balanced,0.16666666666666666,0.19434791968192586,0,0,0.17632753874653076,,0.18419930389470285,0.0
yeast,./data/numerical_only/balanced,0.25014090053606675,0.2469992146206874,0,0,0.3487492104557326,,0.25014090053606675,0.0
yeast,./data/numerical_only/balanced,0.16666666666666666,0.27700609546212096,0,0,0.24675814163898582,,0.19975065959174343,0.0
yeast,./data/numerical_only/balanced,0.16666666666666666,0.15741550836792653,0,0,0.28757307370892826,,0.17666129280326842,0.0
yeast,./data/numerical_only/balanced,0.16666666666666666,0.3072540892708155,0,0,0.22910145372956622,,0.22274905218763122,0.0
yeast,./data/numerical_only/balanced,0.1631625196595831,0.1606902437995715,0,0,0.16666666666666666,,0.17666820807401215,0.0
yeast,./data/numerical_only/balanced,0.08729668096462374,0.17677546115604056,0,0,0.16666666666666666,,0.16666666666666666,0.0
yeast,./data/numerical_only/balanced,0.13571546034646068,0.21050878068734596,0,0,0.173337433461505,,0.16521633279838185,0.0
yeast,./data/numerical_only/balanced,0.16666666666666666,0.31448405155805753,0,0,0.20528995972201464,,0.31448405155805753,0.0
yeast,./data/numerical_only/balanced,0.16666666666666666,0.21706447672226362,0,0,0.20312222027771254,,0.19445778623280252,0.0
yeast,./data/numerical_only/balanced,0.1666666666666667,0.11932739527297054,0,0,0.18112987262697613,,0.20992151834947756,0.0
yeast,./data/numerical_only/balanced,0.1439565515272683,0.2156210597752609,0,0,0.22355462468631723,,0.1879878369722117,0.0
yeast,./data/numerical_only/balanced,0.2784089487552047,0.3475007250134721,0,0,0.36294005822467496,,0.2784089487552047,0.0
yeast,./data/numerical_only/balanced,0.19055320140145726,0.29188192263045815,0,0,0.18920176911205766,,0.18920176911205766,0.0
yeast,./data/numerical_only/balanced,0.18598863329202006,0.15158815067988565,0,0,0.0,,0.15177033249993893,0.0
yeast,./data/numerical_only/balanced,0.18023139313902808,0.19519047100195092,0,0,0.2159479279280671,,0.2629987741325514,0.0
yeast,./data/numerical_only/balanced,0.22402784529792596,0.2689925059044837,0,0,0.22402784529792596,,0.2689925059044837,0.0
yeast,./data/numerical_only/balanced,0.11972962342958492,0.14464163715833292,0,0,0.207455023949211,,0.17358083366261748,0.0
yeast,./data/numerical_only/balanced,0.16666666666666666,0.2374991042318182,0,0,0.2374991042318182,,0.2324026081082428,0.0
yeast,./data/numerical_only/balanced,0.16666666666666666,0.1838796249786653,0,0,0.20317039782441504,,0.20317039782441504,0.0
yeast,./data/numerical_only/balanced,0.16666666666666666,0.2612176226034491,0,0,0.18545506358044073,,0.18545506358044073,0.0
yeast,./data/numerical_only/balanced,0.15240558561591996,0.16666666666666666,0,0,0.0,,0.1316841456046765,0.0
yeast,./data/numerical_only/balanced,0.15935911055016133,0.2509047158575484,0,0,0.21792067641977342,,0.21792067641977342,0.0
yeast,./data/numerical_only/balanced,0.17336720143208234,0.16767716477826608,0,0,0.1928904781808108,,0.1757198223513306,0.0
yeast,./data/numerical_only/balanced,0.1902952531621144,0.17920351817795355,0,0,0.1668457119137861,,0.16666666666666666,0.0
yeast,./data/numerical_only/balanced,0.18347563143905185,0.2130555000756024,0,0,0.20246170643845068,,0.24823022295365102,0.0
yeast,./data/numerical_only/balanced,0.17800175005603627,0.22112794357128532,0,0,0.2091425296270346,,0.16666666666666666,0.0
yeast,./data/numerical_only/balanced,0.11980577012008524,0.14376692414410228,0,0,0.0,,0.1689518823317845,0.0
yeast,./data/numerical_only/balanced,0.151437366124808,0.12532135704217276,0,0,0.19065659357754336,,0.19065659357754336,0.0
yeast,./data/numerical_only/balanced,0.21447149160714588,0.35006071469463507,0,0,0.2726535063651507,,0.24668229224080054,0.0
yeast,./data/numerical_only/balanced,0.09783935828991948,0.19285923961427795,0,0,0.16666666666666666,,0.11647585483978047,0.0
yeast,./data/numerical_only/balanced,0.16666666666666663,0.18395770872248932,0,0,0.16666666666666663,,0.12020089654843416,0.0
yeast,./data/numerical_only/balanced,0.16267020382946656,0.15368277886344245,0,0,0.15506604826502582,,0.15506604826502582,0.0
yeast,./data/numerical_only/balanced,0.16666666666666666,0.17522430283354645,0,0,0.20256433910081206,,0.17522430283354645,0.0
yeast,./data/numerical_only/balanced,0.1701540919615029,0.2372170569781881,0,0,0.1904679416889295,,0.1904679416889295,0.0
