dataset,num_and_cat,time_lux_ablation,time_lux_pure,time_lux_proba,time_lux_shap,time_explan,time_lore,time_anchor
yeast,./data/numerical_only/balanced,0.24342107772827148,0.0,0.0,172.21282410621643,,56.078558683395386,0.5924856662750244
yeast,./data/numerical_only/balanced,0.21444153785705566,0.0,0.0,238.03143334388733,,43.688822746276855,0.3179757595062256
yeast,./data/numerical_only/balanced,0.20545530319213867,0.0,0.0,264.69884300231934,,43.72382164001465,0.39821434020996094
yeast,./data/numerical_only/balanced,0.24212145805358887,0.0,0.0,125.10281896591187,,44.36280655860901,0.8457109928131104
yeast,./data/numerical_only/balanced,0.23029685020446777,0.0,0.0,179.28584623336792,,44.38725972175598,0.5300774574279785
yeast,./data/numerical_only/balanced,0.28211522102355957,0.0,0.0,184.46770763397217,,43.39834475517273,1.41213059425354
yeast,./data/numerical_only/balanced,0.27358055114746094,0.0,0.0,150.504620552063,,43.98071217536926,0.5703556537628174
yeast,./data/numerical_only/balanced,0.19725465774536133,0.0,0.0,314.24466705322266,,45.163057804107666,0.698007345199585
yeast,./data/numerical_only/balanced,0.2636086940765381,0.0,0.0,301.1670620441437,,44.349403858184814,0.844496488571167
yeast,./data/numerical_only/balanced,0.4088914394378662,0.0,0.0,355.304562330246,,44.19059991836548,0.9555494785308838
yeast,./data/numerical_only/balanced,0.20910334587097168,0.0,0.0,159.0470564365387,,43.65736937522888,1.098022222518921
yeast,./data/numerical_only/balanced,0.23087549209594727,0.0,0.0,171.74536657333374,,43.61270356178284,0.4767463207244873
yeast,./data/numerical_only/balanced,0.25271034240722656,0.0,0.0,368.9776346683502,,43.74382281303406,0.40625596046447754
yeast,./data/numerical_only/balanced,0.2875180244445801,0.0,0.0,247.40120553970337,,43.7375648021698,1.008169174194336
yeast,./data/numerical_only/balanced,0.39273762702941895,0.0,0.0,148.1622350215912,,44.8716254234314,1.2004821300506592
yeast,./data/numerical_only/balanced,0.2512986660003662,0.0,0.0,265.83449387550354,,43.604212284088135,0.3821268081665039
yeast,./data/numerical_only/balanced,0.21129679679870605,0.0,0.0,0.0,,43.57246232032776,0.36765480041503906
yeast,./data/numerical_only/balanced,0.2686734199523926,0.0,0.0,83.6512303352356,,43.595773696899414,1.223656415939331
yeast,./data/numerical_only/balanced,0.40683698654174805,0.0,0.0,105.84202289581299,,43.66389536857605,1.4931087493896484
yeast,./data/numerical_only/balanced,0.22109436988830566,0.0,0.0,300.8949580192566,,44.06980752944946,0.827913761138916
yeast,./data/numerical_only/balanced,0.26807546615600586,0.0,0.0,108.71486854553223,,44.74075794219971,1.0593504905700684
yeast,./data/numerical_only/balanced,0.27461695671081543,0.0,0.0,200.46260046958923,,43.819082736968994,0.3876016139984131
yeast,./data/numerical_only/balanced,0.25997400283813477,0.0,0.0,207.52090215682983,,43.64851522445679,0.5740301609039307
