dataset,num_and_cat,model_score,instance_certainty_clf,hits_dectree,hits_lux_ablation,hits_lux_pure,hits_lux_proba,hits_lux_shap,hits_explan,hits_lore,hits_anchor
yeast,./data/numerical_only/balanced,0.601078167115903,0.45,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.5,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.77,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.85,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.5,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.73,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.5,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.42,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.74,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.39,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.54,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.86,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.4,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.85,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.43,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.57,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.75,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.69,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.46,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.5,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.75,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.59,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.27,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.7,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.88,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.37,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.63,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.38,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.74,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.56,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.54,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.43,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.56,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.3,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.49,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.26,0.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.67,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.91,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.98,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.34,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.34,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.52,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.81,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.45,0.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.38,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.94,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.33,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.72,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.29,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.67,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.42,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.34152380952380945,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
rmftsa,./data/numerical_only/balanced,0.5,0.4721666666666667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.6655,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.9,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.6321532356532357,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.8221843434343431,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.2767023809523808,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.8651381221118061,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.7602857142857143,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.5908650793650794,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.56725,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.7943333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.6441666666666667,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.6934919386169388,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.3696428571428571,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.489547619047619,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.5908650793650794,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.61,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.9613492063492063,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.5806590076590077,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
rmftsa,./data/numerical_only/balanced,0.5,0.32083333333333336,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,./data/numerical_only/balanced,0.5,0.575,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
